experiment_id,target,horizon,model,fold,seed,train_samples,validation_samples,training_seconds,prediction_seconds,negative_prediction_count,negative_prediction_percentage,complexity,hyperparameters
LOAD-H1-EXTRA_TREES-FULLV1-S42-F04,load,1,extra_trees,F04,42,4943,744,0.12450879998505116,0.0383301000110805,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S123-F04,load,1,extra_trees,F04,123,4943,744,0.11470630002440885,0.03920349996769801,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S2020-F04,load,1,extra_trees,F04,2020,4943,744,0.15159740002127364,0.040968600020278245,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S2025-F04,load,1,extra_trees,F04,2025,4943,744,0.14400700002443045,0.05147649999707937,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S31415-F04,load,1,extra_trees,F04,31415,4943,744,0.12707549997139722,0.03943880001315847,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-HIST_GRADIENT_BOOSTING-FULLV1-DET-F04,load,1,hist_gradient_boosting,F04,DET,4943,744,0.9003219999722205,0.011491200013551861,0,0.0,"{""iterations"": 200}","{""l2_regularization"": 0.1, ""learning_rate"": 0.08, ""max_depth"": null, ""max_iter"": 200, ""max_leaf_nodes"": 31}"
LOAD-H1-LINEAR_REGRESSION-FULLV1-DET-F05,load,1,linear_regression,F05,DET,5687,720,0.0180013999924995,0.002076099975965917,0,0.0,"{""coefficient_count"": 12}","{""fit_intercept"": true}"
LOAD-H1-RIDGE-FULLV1-DET-F05,load,1,ridge,F05,DET,5687,720,0.03995909995865077,0.003667500044684857,0,0.0,"{""coefficient_count"": 12}","{""alpha"": 1.0, ""fit_intercept"": true, ""scaling"": ""StandardScaler inside training-fold pipeline"", ""solver"": ""auto""}"
LOAD-H1-RANDOM_FOREST-FULLV1-S42-F05,load,1,random_forest,F05,42,5687,720,0.28596259996993467,0.03947389998938888,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S123-F05,load,1,random_forest,F05,123,5687,720,0.31918940000468865,0.04036300000734627,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S2020-F05,load,1,random_forest,F05,2020,5687,720,0.331209099967964,0.0382435999927111,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S2025-F05,load,1,random_forest,F05,2025,5687,720,0.32921699999133125,0.039846799976658076,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-RANDOM_FOREST-FULLV1-S31415-F05,load,1,random_forest,F05,31415,5687,720,0.3310073000029661,0.03977550001582131,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
LOAD-H1-EXTRA_TREES-FULLV1-S42-F05,load,1,extra_trees,F05,42,5687,720,0.15220479998970404,0.04330399999162182,0,0.0,"{""estimator_count"": 50, ""max_tree_depth"": 12, ""mean_tree_depth"": 12.0}","{""max_depth"": 12, ""max_features"": 1.0, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 50, ""n_jobs"": -1}"
