run_id,evidence_status,target,model,framework,implementation_id,feature_set,feature_count,fold,seed,training_seconds,prediction_seconds,epochs,MAE,RMSE,sMAPE,nMAE,nRMSE
P10-wind-mlp-C_calendar_lags-F01-S42,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F01,42,0.0981776999997237,0.0,12,545.80554,624.663559446203,92.49308,0.8949344,1.0242345891315543
P10-wind-mlp-C_calendar_lags-F01-S123,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F01,123,0.09557130000030156,0.0,12,526.3936,608.0682527479954,91.94855,0.8631055,0.9970239620979877
P10-wind-mlp-C_calendar_lags-F01-S2020,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F01,2020,0.08823229999961768,0.0,12,491.00906,604.6506481018605,91.09813,0.8050869,0.9914202593725536
P10-wind-mlp-C_calendar_lags-F01-S2025,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F01,2025,0.0944113000005018,0.0,12,516.82983,616.3625911344717,92.406105,0.84742415,1.0106238402098504
P10-wind-mlp-C_calendar_lags-F01-S31415,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,C_calendar_lags,9,F01,31415,0.09539529999983642,0.0,12,525.36633,617.4312967853184,93.35799,0.8614211,1.0123761519569419
P10-wind-mlp-E_full-F01-S42,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F01,42,0.0920882000000347,0.0,12,512.57886,604.2082629358854,91.77824,0.840454,0.9906948990055873
P10-wind-mlp-E_full-F01-S123,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F01,123,0.039695299999948475,0.0,5,572.12445,647.1244567314699,93.863495,0.9380884,1.0610627785698765
P10-wind-mlp-E_full-F01-S2020,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F01,2020,0.04067920000034064,0.0,5,529.3969,612.0057189275277,92.03466,0.86802983,1.0034800599343783
P10-wind-mlp-E_full-F01-S2025,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F01,2025,0.09142590000010387,0.0,12,524.94226,612.6105512476911,91.72974,0.86072576,1.004471778073796
P10-wind-mlp-E_full-F01-S31415,VALID,wind,mlp,pytorch,PYTORCH_MLP_V1,E_full,12,F01,31415,0.08981690000018716,0.0,12,533.4009,627.5601066830172,93.10064,0.874595,1.028983935918533
P10-wind-hist_gradient_boosting-A_calendar_only-F02-S42,VALID,wind,hist_gradient_boosting,sklearn,SKLEARN_HIST_GRADIENT_BOOSTING_REGRESSOR,A_calendar_only,6,F02,42,0.6237132000005658,0.005693199999768694,N/A,1004.0421324038322,1140.1728732094991,122.63004100847851,1.9794566479610618,2.247836720054751
P10-wind-hist_gradient_boosting-B_lags_only-F02-S42,VALID,wind,hist_gradient_boosting,sklearn,SKLEARN_HIST_GRADIENT_BOOSTING_REGRESSOR,B_lags_only,3,F02,42,0.5398586999999679,0.005862899999556248,N/A,627.6972651918875,717.3726421746488,115.05690078113112,1.2374973961663573,1.4142912929542923
P10-wind-hist_gradient_boosting-C_calendar_lags-F02-S42,VALID,wind,hist_gradient_boosting,sklearn,SKLEARN_HIST_GRADIENT_BOOSTING_REGRESSOR,C_calendar_lags,9,F02,42,0.5539334000004601,0.005784400000266032,N/A,990.0163402838126,1131.7283891464012,122.41703649265217,1.9518049722406192,2.231188524149584
